version,variant,size,regime,protocol,config,seed,f1,precision,recall,balanced_accuracy,auroc,auprc,runtime_seconds,positive_rate,positive_count,test_count,actual_backend,source_path
V26,hi-medium,medium,hi,late_window_holdout,hist_gradient_boosting_edge_features,7,0.0005599626691553896,0.0410958904109589,0.00028190189813944745,0.500135455586057,0.9434673359948058,0.17871783564647648,113.882,0.0016681171124174876,10642,6379648,sklearn_cpu,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_7_8_T4_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__late_window_holdout__hist_gradient_boosting_edge_features__seed7.json
V26,hi-medium,medium,hi,late_window_holdout,hist_gradient_boosting_edge_features,8,0.006345651362448675,0.4594594594594595,0.003194888178913738,0.5015943038820211,0.9395058446756217,0.16365293432501024,79.824,0.0016681171124174876,10642,6379648,sklearn_cpu,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_7_8_T4_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__late_window_holdout__hist_gradient_boosting_edge_features__seed8.json
V26,hi-medium,medium,hi,late_window_holdout,logistic_regression_edge_features,7,0.02009779880265791,0.01016078139254597,0.9126104115767713,0.882029879308869,0.916557566471002,0.015724064819841413,49.515,0.0016681171124174876,10642,6379648,sklearn_cpu,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_7_8_T4_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__late_window_holdout__logistic_regression_edge_features__seed7.json
V26,hi-medium,medium,hi,late_window_holdout,logistic_regression_edge_features,8,0.02009779880265791,0.01016078139254597,0.9126104115767713,0.882029879308869,0.916557566471002,0.015724064819841413,51.883,0.0016681171124174876,10642,6379648,sklearn_cpu,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_7_8_T4_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__late_window_holdout__logistic_regression_edge_features__seed8.json
V26,hi-medium,medium,hi,early_to_late_transfer,graphsage_edge_minibatch_h32,10,0.013338527789360892,0.006731407615053061,0.7224146462147452,0.7822965586906729,0.8722504468809842,0.021732916209469332,175.789,0.0014783469767193007,14147,9569472,cuda:0,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_9_10_T4_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__early_to_late_transfer__graphsage_edge_minibatch_h32__seed10.json
V26,hi-medium,medium,hi,early_to_late_transfer,graphsage_edge_minibatch_h32,9,0.02898482010920671,0.014823843594709327,0.6481939633844631,0.7922075378480923,0.8540166302207475,0.026281881021237803,176.172,0.0014783469767193007,14147,9569472,cuda:0,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_9_10_T4_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__early_to_late_transfer__graphsage_edge_minibatch_h32__seed9.json
V26,hi-medium,medium,hi,early_to_late_transfer,hist_gradient_boosting_edge_features,10,0.15263453965872867,0.22658315935977733,0.11507740156923729,0.5572479205128853,0.9197468090071461,0.09804620245432868,38.44,0.0014783469767193007,14147,9569472,sklearn_cpu,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_9_10_T4_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__early_to_late_transfer__hist_gradient_boosting_edge_features__seed10.json
V26,hi-medium,medium,hi,early_to_late_transfer,hist_gradient_boosting_edge_features,9,0.13175418569254185,0.20139595753962483,0.09790061497137202,0.5486629284588083,0.8944598546971058,0.08748137417445093,36.488,0.0014783469767193007,14147,9569472,sklearn_cpu,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_9_10_T4_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__early_to_late_transfer__hist_gradient_boosting_edge_features__seed9.json
V26,hi-medium,medium,hi,early_to_late_transfer,logistic_regression_edge_features,10,0.017959441021018357,0.009070012736825346,0.9020286986640277,0.8780611530775693,0.9126714767010471,0.013930367090398578,46.399,0.0014783469767193007,14147,9569472,sklearn_cpu,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_9_10_T4_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__early_to_late_transfer__logistic_regression_edge_features__seed10.json
V26,hi-medium,medium,hi,early_to_late_transfer,logistic_regression_edge_features,9,0.017959441021018357,0.009070012736825346,0.9020286986640277,0.8780611530775693,0.9126714767010471,0.013930367090398578,45.503,0.0014783469767193007,14147,9569472,sklearn_cpu,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_9_10_T4_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__early_to_late_transfer__logistic_regression_edge_features__seed9.json
