binding_id,scenario_id,base_coordinate_id,protocol,expert,seed,role,permitted_splits,evaluation_split,label_access,resource_mask,review_budget,status
binding-a353fcfc5f84b959c686eb5a,scenario-c51365541cd41cf288508464,5f07e52e3369933ff796d4291649444b15bf4ef64792c46e0e6687afd83d1623,strict_inductive,feature_mlp,6,target,test,test,EVALUATION_ONLY_AFTER_FREEZE,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-3f84a3e0ce4fe3c46122b150,scenario-c51365541cd41cf288508464,25aecff71b6d2e5b00b1e9ce682a47f2d74400c64de7ae08995259bb88b117b3,strict_inductive,gcn,6,target,test,test,EVALUATION_ONLY_AFTER_FREEZE,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-cbccb18d0ab1386ec64850e9,scenario-c51365541cd41cf288508464,d73dbaa3e4a387061a70a51df47520f41185ec9d2dd6f30a1cd467ac2ae58c8c,strict_inductive,graphsage,6,target,test,test,EVALUATION_ONLY_AFTER_FREEZE,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-a7698b4411848e7456a00528,scenario-c51365541cd41cf288508464,4efc48eb5954dfbf1ddf316c20830251bbe3c592f1d6c0a5807b6c4617f73af4,isolated_inductive,feature_mlp,6,source,train;validation,validation,SOURCE_LABELS_ALLOWED,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-da719c91d782fcc3b1f1178d,scenario-c51365541cd41cf288508464,9bbecf623a1014267b04e8f962047d196ec38e46097cdfb8dd89a4d356304028,isolated_inductive,gcn,6,source,train;validation,validation,SOURCE_LABELS_ALLOWED,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-a4a20a7e651157ed5ea4510e,scenario-c51365541cd41cf288508464,183635a5912e6f32b5628c7fd95e8014cbf3e26f2ad3de64abaad3bc82f8f183,isolated_inductive,graphsage,6,source,train;validation,validation,SOURCE_LABELS_ALLOWED,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-aabf9b93bbfb990d8ee7e0ee,scenario-c51365541cd41cf288508464,6ae249aa0bf5a510a5b24be85b06eebae946dc3084bf25e861b5808430ba5f18,transductive_structure,feature_mlp,6,source,train;validation,validation,SOURCE_LABELS_ALLOWED,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-3fd7b81327cfa1d4a57752c8,scenario-c51365541cd41cf288508464,2652124bba71270a870dcf48a7a52814961c7eafe8fefa7d145942bfdaaa855a,transductive_structure,gcn,6,source,train;validation,validation,SOURCE_LABELS_ALLOWED,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-c99bcfa442749e0643158cf2,scenario-c51365541cd41cf288508464,92a01a9e6a6f969cc027cda420a73a14a42472bab778c53b467d6a21f40a3432,transductive_structure,graphsage,6,source,train;validation,validation,SOURCE_LABELS_ALLOWED,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-051ba19023f5af23fd32e776,scenario-b3d034413de438245eea70c5,dae43e4a26bcde3a091f38e1d2065970e00cf8c1dfa8a588822f2d0ce0539e08,strict_inductive,feature_mlp,7,target,test,test,EVALUATION_ONLY_AFTER_FREEZE,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
